Constellation, Average Distance, Same Constellations Accross Cultures 
CON indian N04,0.0, 2
CON indian N06,0.0, 1
CON indian N10,0.0, 1
CON indian N12,0.0, 1
CON indian N14,0.0, 1
CON indian N15,0.0, 4
CON indian N24,0.0, 1
CON indian N27,0.0, 1
CON arabic_arabian_peninsula 2604,0.0, 3
CON arabic_arabian_peninsula 4213,0.0, 1
CON korean 004,0.0, 1
CON korean 013,0.0, 2
CON korean 017,0.0, 2
CON korean 021,0.0, 1
CON korean 025,0.0, 2
CON korean 030,0.0, 1
CON korean 035,0.0, 2
CON korean 036,0.0, 1
CON korean 042,0.0, 1
CON korean 049,0.0, 2
CON korean 087,0.0, 1
CON korean 092,0.0, 2
CON korean 093,0.0, 1
CON korean 100,0.0, 1
CON korean 102,0.0, 2
CON korean 104,0.0, 1
CON korean 107,0.0, 2
CON korean 115,0.0, 2
CON korean 123,0.0, 2
CON korean 125,0.0, 2
CON korean 126,0.0, 1
CON korean 137,0.0, 2
CON korean 155,0.0, 1
CON korean 156,0.0, 1
CON korean 157,0.0, 1
CON korean 163,0.0, 1
CON korean 168,0.0, 2
CON korean 169,0.0, 1
CON korean 174,0.0, 2
CON korean 177,0.0, 1
CON korean 196,0.0, 1
CON korean 204,0.0, 2
CON korean 205,0.0, 2
CON korean 206,0.0, 2
CON korean 210,0.0, 2
CON korean 220,0.0, 2
CON korean 222,0.0, 1
CON korean 223,0.0, 1
CON korean 225,0.0, 1
CON korean 226,0.0, 2
CON korean 227,0.0, 2
CON korean 234,0.0, 1
CON korean 239,0.0, 1
CON korean 242,0.0, 1
CON korean 243,0.0, 2
CON korean 253,0.0, 2
CON korean 254,0.0, 2
CON korean 267,0.0, 2
CON korean 268,0.0, 2
CON korean 269,0.0, 1
CON korean 270,0.0, 1
CON arabic_ancient 1599,0.0, 1
CON arabic_ancient 2001,0.0, 1
CON arabic_ancient 2499,0.0, 1
CON western_rey UMah,0.0, 1
CON western_rey Leoh,0.0, 1
CON western_rey Leot,0.0, 1
CON western_rey Boob,0.0, 1
CON western_rey Booh,0.0, 1
CON western_rey Boop,0.0, 1
CON western_rey Cygw1,0.0, 1
CON western_rey Cygw2,0.0, 1
CON western_rey Cygf,0.0, 1
CON western_rey Cygn,0.0, 1
CON western_rey Herc,0.0, 1
CON western_rey Herk,0.0, 1
CON western_rey Andc,0.0, 1
CON western_rey Pegh,0.0, 1
CON western_rey Pegt,0.0, 1
CON western_rey Pegw,0.0, 1
CON western_rey Arih,0.0, 1
CON western_rey Arit,0.0, 1
CON western_rey Tauh,0.0, 1
CON western_rey Tauc1,0.0, 1
CON western_rey Tauc2,0.0, 1
CON western_rey Taut,0.0, 1
CON western_rey Orib,0.0, 1
CON western_rey Oric,0.0, 1
CON western_rey Oris,0.0, 1
CON western_rey Hyah,0.0, 1
CON western_rey Ant,0.0, 1
CON western_rey Hyat,0.0, 1
CON western_rey Virh,0.0, 1
CON western_rey Virf,0.0, 1
CON western_rey Crvb,0.0, 1
CON western_rey Crvf,0.0, 1
CON western_rey Crvt,0.0, 1
CON western_rey SerHh,0.0, 1
CON western_rey Ophb,0.0, 1
CON western_rey Ophh,0.0, 1
CON western_rey Opha1,0.0, 1
CON western_rey Opha2,0.0, 1
CON western_rey Ophf1,0.0, 1
CON western_rey Ophf2,0.0, 1
CON western_rey Scoc,0.0, 1
CON western_rey Scot,0.0, 1
CON western_rey Scoe,0.0, 1
CON western_rey Aqlh,0.0, 1
CON western_rey Aqlw1,0.0, 1
CON western_rey Aqlw2,0.0, 1
CON western_rey Aqlt,0.0, 1
CON western_rey Sgrh,0.0, 1
CON western_rey Sgrb,0.0, 1
CON western_rey Sgrs,0.0, 1
CON western_rey Aqrh,0.0, 1
CON western_rey Aqra,0.0, 1
CON western_rey Aqrv,0.0, 1
CON western_rey PscN,0.0, 1
CON western_rey PscW,0.0, 1
CON western_rey Cett,0.0, 1
CON western_rey Scl,0.0, 1
CON western_rey Carh,0.0, 1
CON western_rey Pupt,0.0, 1
CON western_rey Volw1,0.0, 1
CON western_rey Volw2,0.0, 1
CON western_rey Colh,0.0, 1
CON western_rey Colt,0.0, 1
CON western_rey Colw,0.0, 1
CON western_rey Hor,0.0, 1
CON western_rey For,0.0, 1
CON western_rey Lupt,0.0, 1
CON western_rey Lupe,0.0, 1
CON western_rey Cenh,0.0, 1
CON western_rey Cena1,0.0, 1
CON western_rey Cena2,0.0, 1
CON western_rey Cenb,0.0, 1
CON western_rey Cenf,0.0, 1
CON western_rey Cenl,0.0, 1
CON western_rey Chae,0.0, 1
CON western_rey Mic,0.0, 1
CON western_rey Cae,0.0, 1
CON western_rey Men,0.0, 1
CON western_rey Sex,0.0, 1
CON sami 004,0.0, 2
CON sami 006,0.0, 2
CON sami 007,0.0, 1
CON sami 008,0.0, 1
CON sami 009,0.0, 1
CON sami 010,0.0, 1
CON belarusian 006,0.0, 1
CON belarusian 020,0.0, 1
CON arabic_al-sufi 05Boo04,0.0, 1
CON chinese 044,0.0, 1
CON chinese 048,0.0, 1
CON chinese 056,0.0, 1
CON chinese 061,0.0, 1
CON chinese 077,0.0, 1
CON chinese 104,0.0, 1
CON chinese 105,0.0, 1
CON chinese 107,0.0, 1
CON chinese 114,0.0, 1
CON chinese 115,0.0, 1
CON chinese 116,0.0, 1
CON chinese 126,0.0, 1
CON chinese 131,0.0, 1
CON chinese 144,0.0, 1
CON chinese 158,0.0, 1
CON chinese 168,0.0, 1
CON chinese 174,0.0, 1
CON chinese 185,0.0, 1
CON chinese 188,0.0, 1
CON chinese 203,0.0, 1
CON chinese 207,0.0, 1
CON chinese 218,0.0, 1
CON chinese 223,0.0, 1
CON chinese 227,0.0, 2
CON chinese 248,0.0, 1
CON chinese 250,0.0, 1
CON chinese 274,0.0, 1
CON chinese 276,0.0, 1
CON chinese 279,0.0, 1
CON chinese 280,0.0, 1
CON chinese 282,0.0, 1
CON chinese 289,0.0, 1
CON chinese 294,0.0, 1
CON chinese 310,0.0, 1
CON boorong Kts,0.0, 1
CON boorong Tch,0.0, 1
CON boorong Wrn,0.0, 1
CON boorong Wkr,0.0, 1
CON boorong Col,0.0, 1
CON korean 039,0.00168169265194912, 1
CON hawaiian_starlines MAK,0.0030873611694164373, 1
CON siberian DNe,0.003277439705527877, 1
CON indian N03,0.0036573578993402195, 1
CON sardinian 002,0.003711903106652275, 1
CON boorong Lnk,0.004032407341683327, 1
CON tukano 006,0.004157913935292835, 1
CON korean 124,0.004238675417095756, 1
CON belarusian 003,0.004238675417095756, 1
CON navajo 005,0.0043803418539905695, 3
CON lokono 003,0.004524557279222315, 1
CON chinese 015,0.0047722732134632085, 1
CON aztec 002,0.004965443611365355, 1
CON macedonian 002,0.004968888155261678, 1
CON tupi 006,0.005309061296278498, 1
CON japanese_moon_stations 18,0.005841927689087945, 1
CON boorong Ydk,0.0063031932690172775, 1
CON romanian Ccp,0.0063230584203078895, 1
CON arabic_arabian_peninsula 4201,0.00634385025720644, 3
CON korean 026,0.00819579897275548, 2
CON indian N05,0.008458467009608587, 1
CON korean 172,0.008458467009608587, 2
CON boorong Kul,0.008634769434247565, 1
CON arabic_ancient 4203,0.009109032892998524, 1
CON chinese 034,0.009769772286892376, 1
CON arabic_ancient 2702,0.009827121974787727, 1
CON boorong Otc,0.009881747272967869, 1
CON arabic_arabian_peninsula 2906,0.010439532281116163, 4
CON boorong Unu,0.010494986442015908, 1
CON korean 027,0.010807647153713226, 1
CON egyptian 028,0.01224249031430345, 1
CON chinese 198,0.012312109768262757, 1
CON western_SnT Mic,0.012801112192497244, 1
CON arabic_ancient 0601,0.013487734110645504, 1
CON boorong Cwr,0.014053574597584148, 1
CON boorong Yur,0.014099244598443134, 1
CON korean 255,0.014485051558540173, 1
CON chinese 169,0.014564631727440375, 1
CON chinese 229,0.015248566097064875, 1
CON korean 244,0.015295267582754282, 2
CON chinese 241,0.015552411343508299, 1
CON tukano 003,0.015925321651644654, 1
CON chinese 086,0.016121230654079572, 1
